"",136.000
35002.2361,3.7366E+02
35002.2396,3.7345E+02
35002.2431,3.7325E+02
35002.2465,3.7305E+02
35002.2500,3.7284E+02
35002.2535,3.7244E+02
35002.2569,3.7204E+02
35002.2604,3.7164E+02
35002.2639,3.7124E+02
35002.2674,3.7083E+02
35002.2708,3.7043E+02
35002.2743,3.7002E+02
35002.2778,3.6962E+02
35002.2812,3.6921E+02
35002.2847,3.6880E+02
35002.2882,3.6839E+02
35002.2917,3.6798E+02
35002.2951,3.6757E+02
35002.2986,3.6716E+02
35002.3021,3.6674E+02
35002.3056,3.6633E+02
35002.3090,3.6591E+02
35002.3125,3.6549E+02
35002.3160,3.6508E+02
35002.3194,3.6466E+02
35002.3229,3.6424E+02
35002.3264,3.6381E+02
35002.3299,3.6339E+02
35002.3333,3.6297E+02
35002.3368,3.6297E+02
35002.3403,3.6298E+02
35002.3437,3.6299E+02
35002.3472,3.6300E+02
35002.3507,3.6300E+02
35002.3542,3.6301E+02
35002.3576,3.6302E+02
35002.3611,3.6303E+02
35002.3646,3.6303E+02
35002.3681,3.6304E+02
35002.3715,3.6305E+02
35002.3750,3.6306E+02
35002.3785,3.6306E+02
35002.3819,3.6307E+02
35002.3854,3.6308E+02
35002.3889,3.6308E+02
35002.3924,3.6309E+02
35002.3958,3.6310E+02
35002.3993,3.6310E+02
35002.4028,3.6311E+02
35002.4062,3.6312E+02
35002.4097,3.6312E+02
35002.4132,3.6313E+02
35002.4167,3.6314E+02
35002.4201,3.6319E+02
35002.4236,3.6324E+02
35002.4271,3.6329E+02
35002.4306,3.6334E+02
35002.4340,3.6339E+02
35002.4375,3.6344E+02
35002.4410,3.6349E+02
35002.4444,3.6354E+02
35002.4479,3.6359E+02
35002.4514,3.6364E+02
35002.4549,3.6369E+02
35002.4583,3.6374E+02
35002.4618,3.6379E+02
35002.4653,3.6384E+02
35002.4687,3.6389E+02
35002.4722,3.6394E+02
35002.4757,3.6399E+02
35002.4792,3.6404E+02
35002.4826,3.6409E+02
35002.4861,3.6414E+02
35002.4896,3.6419E+02
35002.4931,3.6424E+02
35002.4965,3.6429E+02
35002.5000,3.6434E+02
35002.5035,3.6441E+02
35002.5069,3.6448E+02
35002.5104,3.6456E+02
35002.5139,3.6463E+02
35002.5174,3.6470E+02
35002.5208,3.6478E+02
35002.5243,3.6485E+02
35002.5278,3.6492E+02
35002.5312,3.6499E+02
35002.5347,3.6507E+02
35002.5382,3.6514E+02
35002.5417,3.6521E+02
35002.5451,3.6528E+02
35002.5486,3.6536E+02
