"",136.000
35002.2882,-3.3447E+02
35002.2917,-3.3450E+02
35002.2951,-3.3453E+02
35002.2986,-3.3456E+02
35002.3021,-3.3459E+02
35002.3056,-3.3462E+02
35002.3090,-3.3465E+02
35002.3125,-3.3468E+02
35002.3160,-3.3471E+02
35002.3194,-3.3474E+02
35002.3229,-3.3476E+02
35002.3264,-3.3479E+02
35002.3299,-3.3482E+02
35002.3333,-3.3484E+02
35002.3368,-3.3487E+02
35002.3403,-3.3489E+02
35002.3437,-3.3492E+02
35002.3472,-3.3494E+02
35002.3507,-3.3496E+02
35002.3542,-3.3498E+02
35002.3576,-3.3500E+02
35002.3611,-3.3502E+02
35002.3646,-3.3504E+02
35002.3681,-3.3506E+02
35002.3715,-3.3508E+02
35002.3750,-3.3510E+02
35002.3785,-3.3513E+02
35002.3819,-3.3515E+02
35002.3854,-3.3518E+02
35002.3889,-3.3520E+02
35002.3924,-3.3523E+02
35002.3958,-3.3526E+02
35002.3993,-3.3529E+02
35002.4028,-3.3533E+02
35002.4062,-3.3536E+02
35002.4097,-3.3540E+02
35002.4132,-3.3543E+02
35002.4167,-3.3547E+02
35002.4201,-3.3551E+02
35002.4236,-3.3555E+02
35002.4271,-3.3559E+02
35002.4306,-3.3563E+02
35002.4340,-3.3568E+02
35002.4375,-3.3572E+02
35002.4410,-3.3577E+02
35002.4444,-3.3581E+02
35002.4479,-3.3586E+02
35002.4514,-3.3591E+02
35002.4549,-3.3596E+02
35002.4583,-3.3601E+02
35002.4618,-3.3606E+02
35002.4653,-3.3612E+02
35002.4687,-3.3617E+02
35002.4722,-3.3623E+02
35002.4757,-3.3628E+02
35002.4792,-3.3634E+02
35002.4826,-3.3639E+02
35002.4861,-3.3645E+02
35002.4896,-3.3651E+02
35002.4931,-3.3657E+02
35002.4965,-3.3663E+02
35002.5000,-3.3669E+02
35002.5035,-3.3675E+02
35002.5069,-3.3681E+02
35002.5104,-3.3686E+02
35002.5139,-3.3692E+02
35002.5174,-3.3697E+02
35002.5208,-3.3703E+02
35002.5243,-3.3708E+02
35002.5278,-3.3713E+02
35002.5312,-3.3719E+02
35002.5347,-3.3724E+02
35002.5382,-3.3729E+02
35002.5417,-3.3734E+02
35002.5451,-3.3739E+02
35002.5486,-3.3744E+02
35002.5521,-3.3749E+02
35002.5556,-3.3754E+02
35002.5590,-3.3759E+02
35002.5625,-3.3763E+02
35002.5660,-3.3768E+02
35002.5694,-3.3773E+02
35002.5729,-3.3777E+02
35002.5764,-3.3782E+02
35002.5799,-3.3786E+02
35002.5833,-3.3791E+02
35002.5868,-3.3795E+02
35002.5903,-3.3799E+02
35002.5937,-3.3803E+02
35002.5972,-3.3806E+02
35002.6007,-3.3810E+02
35002.6042,-3.3813E+02
