"",136.000
35002.3889,8.1582E+00
35002.3924,7.6321E+00
35002.3958,7.1883E+00
35002.3993,6.8444E+00
35002.4028,6.6178E+00
35002.4062,6.5223E+00
35002.4097,6.5653E+00
35002.4132,6.7453E+00
35002.4167,7.0534E+00
35002.4201,6.9882E+00
35002.4236,6.9369E+00
35002.4271,6.9001E+00
35002.4306,6.8783E+00
35002.4340,6.8718E+00
35002.4375,6.8808E+00
35002.4410,6.9056E+00
35002.4444,6.9462E+00
35002.4479,7.0024E+00
35002.4514,7.0742E+00
35002.4549,7.1611E+00
35002.4583,7.2630E+00
35002.4618,7.3792E+00
35002.4653,7.5093E+00
35002.4687,7.6527E+00
35002.4722,7.8088E+00
35002.4757,7.9771E+00
35002.4792,8.1568E+00
35002.4826,8.3475E+00
35002.4861,8.5484E+00
35002.4896,8.7589E+00
35002.4931,8.9786E+00
35002.4965,9.2068E+00
35002.5000,9.4430E+00
35002.5035,9.4901E+00
35002.5069,9.5416E+00
35002.5104,9.5971E+00
35002.5139,9.6565E+00
35002.5174,9.7196E+00
35002.5208,9.7862E+00
35002.5243,9.8563E+00
35002.5278,9.9298E+00
35002.5312,1.0007E+01
35002.5347,1.0086E+01
35002.5382,1.0169E+01
35002.5417,1.0255E+01
35002.5451,1.0344E+01
35002.5486,1.0435E+01
35002.5521,1.0529E+01
35002.5556,1.0626E+01
35002.5590,1.0725E+01
35002.5625,1.0826E+01
35002.5660,1.0930E+01
35002.5694,1.1036E+01
35002.5729,1.1145E+01
35002.5764,1.1256E+01
35002.5799,1.1368E+01
35002.5833,1.1483E+01
35002.5868,1.1053E+01
35002.5903,1.0637E+01
35002.5937,1.0234E+01
35002.5972,9.8444E+00
35002.6007,9.4669E+00
35002.6042,9.1019E+00
35002.6076,8.7492E+00
35002.6111,8.4084E+00
35002.6146,8.0794E+00
35002.6181,7.7617E+00
35002.6215,7.4552E+00
35002.6250,7.1594E+00
35002.6285,6.8741E+00
35002.6319,6.5989E+00
35002.6354,6.3333E+00
35002.6389,6.0770E+00
35002.6424,5.8295E+00
35002.6458,5.5903E+00
35002.6493,5.3591E+00
35002.6528,5.1352E+00
35002.6562,4.9181E+00
35002.6597,4.7074E+00
35002.6632,4.5024E+00
35002.6667,4.3025E+00
35002.6701,4.0917E+00
35002.6736,3.8857E+00
35002.6771,3.6848E+00
35002.6806,3.4890E+00
35002.6840,3.2985E+00
35002.6875,3.1132E+00
35002.6910,2.9333E+00
35002.6944,2.7587E+00
35002.6979,2.5895E+00
35002.7014,2.4256E+00
35002.7049,2.2671E+00
35002.7083,2.1139E+00
35002.7118,1.9661E+00
35002.7153,1.8237E+00
35002.7187,1.6868E+00
35002.7222,1.5552E+00
35002.7257,1.4291E+00
35002.7292,1.3085E+00
35002.7326,1.1933E+00
35002.7361,1.0837E+00
35002.7396,9.7957E-01
35002.7431,8.8107E-01
35002.7465,7.8820E-01
35002.7500,7.0103E-01
35002.7535,7.0294E-01
35002.7569,7.0825E-01
35002.7604,7.1616E-01
35002.7639,7.2588E-01
35002.7674,7.3672E-01
35002.7708,7.4809E-01
35002.7743,7.5943E-01
35002.7778,7.7024E-01
35002.7812,7.8012E-01
35002.7847,7.8872E-01
35002.7882,7.9578E-01
35002.7917,8.0103E-01
35002.7951,8.0421E-01
35002.7986,8.0519E-01
35002.8021,8.0382E-01
35002.8056,7.9995E-01
35002.8090,7.9342E-01
35002.8125,7.8418E-01
35002.8160,7.7222E-01
35002.8194,7.5738E-01
35002.8229,7.3952E-01
35002.8264,7.1864E-01
35002.8299,6.9479E-01
35002.8333,6.6785E-01
35002.8368,6.2035E-01
35002.8403,5.7354E-01
35002.8437,5.2749E-01
35002.8472,4.8196E-01
35002.8507,4.3689E-01
35002.8542,3.9239E-01
35002.8576,3.4849E-01
35002.8611,3.0501E-01
35002.8646,2.6201E-01
35002.8681,2.1968E-01
35002.8715,1.7803E-01
35002.8750,1.3683E-01
35002.8785,9.6058E-02
35002.8819,5.5875E-02
35002.8854,1.6313E-02
35002.8889,-2.3860E-02
35002.8924,-6.6920E-02
35002.8958,-1.1171E-01
35002.8993,-1.5777E-01
35002.9028,-2.0510E-01
35002.9062,-2.5354E-01
35002.9097,-3.0282E-01
35002.9132,-3.5281E-01
35002.9167,-4.0364E-01
35002.9201,-4.5358E-01
35002.9236,-5.0382E-01
35002.9271,-5.5427E-01
35002.9306,-6.0511E-01
35002.9340,-6.5635E-01
35002.9375,-7.0781E-01
35002.9410,-7.5942E-01
35002.9444,-8.1137E-01
35002.9479,-8.6371E-01
35002.9514,-9.1628E-01
35002.9549,-9.6897E-01
35002.9583,-1.0220E+00
35002.9618,-1.0754E+00
35002.9653,-1.1291E+00
35002.9687,-1.1829E+00
35002.9722,-1.2370E+00
35002.9757,-1.2915E+00
35002.9792,-1.3463E+00
35002.9826,-1.4014E+00
35002.9861,-1.4566E+00
35002.9896,-1.5123E+00
