"",136.000
35003.6076,9.1942E+01
35003.6111,8.6710E+01
35003.6146,8.1477E+01
35003.6181,7.6245E+01
35003.6215,7.1012E+01
35003.6250,6.5780E+01
35003.6285,6.0548E+01
35003.6319,5.5315E+01
35003.6354,5.0083E+01
35003.6389,4.4850E+01
35003.6424,3.9618E+01
35003.6458,3.4385E+01
35003.6493,2.9153E+01
35003.6528,2.3920E+01
35003.6562,1.8688E+01
35003.6597,1.3455E+01
35003.6632,8.2230E+00
35003.6667,2.9905E+00
35003.6701,2.8654E+00
35003.6736,2.7408E+00
35003.6771,2.6163E+00
35003.6806,2.4917E+00
35003.6840,2.3671E+00
35003.6875,2.2425E+00
35003.6910,2.1179E+00
35003.6944,1.9933E+00
35003.6979,1.8688E+00
35003.7014,1.7442E+00
35003.7049,1.6196E+00
35003.7083,1.4950E+00
35003.7118,1.3704E+00
35003.7153,1.2458E+00
35003.7187,1.1213E+00
35003.7222,9.9667E-01
35003.7257,8.7209E-01
35003.7292,7.4750E-01
35003.7326,6.2292E-01
35003.7361,4.9834E-01
35003.7396,3.7375E-01
35003.7431,2.4917E-01
35003.7465,1.2458E-01
35003.7500,9.1894E-08
35003.7535,2.4917E-02
35003.7569,4.9834E-02
35003.7604,7.4750E-02
35003.7639,9.9667E-02
35003.7674,1.2458E-01
35003.7708,1.4950E-01
35003.7743,1.7442E-01
35003.7778,1.9933E-01
35003.7812,2.2425E-01
35003.7847,2.4917E-01
35003.7882,2.7408E-01
35003.7917,2.9900E-01
35003.7951,3.2392E-01
35003.7986,3.4883E-01
35003.8021,3.7375E-01
35003.8056,3.9867E-01
35003.8090,4.2359E-01
35003.8125,4.4850E-01
35003.8160,4.7342E-01
35003.8194,4.9834E-01
35003.8229,5.2325E-01
35003.8264,5.4817E-01
35003.8299,5.7309E-01
35003.8333,5.9800E-01
35003.8368,5.7308E-01
35003.8403,5.4816E-01
35003.8437,5.2325E-01
35003.8472,4.9833E-01
35003.8507,4.7342E-01
35003.8542,4.4850E-01
35003.8576,4.2358E-01
35003.8611,3.9867E-01
35003.8646,3.7375E-01
35003.8681,3.4883E-01
35003.8715,3.2392E-01
35003.8750,2.9900E-01
35003.8785,2.7408E-01
35003.8819,2.4917E-01
35003.8854,2.2425E-01
35003.8889,1.9933E-01
35003.8924,1.7442E-01
35003.8958,1.4950E-01
35003.8993,1.2458E-01
35003.9028,9.9668E-02
35003.9062,7.4752E-02
35003.9097,4.9835E-02
35003.9132,2.4919E-02
35003.9167,2.4115E-06
35003.9201,2.4914E-02
35003.9236,4.9831E-02
35003.9271,7.4748E-02
35003.9306,9.9665E-02
35003.9340,1.2458E-01
35003.9375,1.4950E-01
35003.9410,1.7441E-01
35003.9444,1.9933E-01
35003.9479,2.2425E-01
35003.9514,2.4917E-01
35003.9549,2.7408E-01
35003.9583,2.9900E-01
35003.9618,3.2392E-01
35003.9653,3.4883E-01
35003.9687,3.7375E-01
35003.9722,3.9867E-01
35003.9757,4.2358E-01
35003.9792,4.4850E-01
35003.9826,4.7342E-01
35003.9861,4.9833E-01
35003.9896,5.2325E-01
35003.9931,5.4817E-01
35003.9965,5.7308E-01
35004.0000,5.9800E-01
35004.0035,6.2292E-01
35004.0069,6.4783E-01
35004.0104,6.7275E-01
35004.0139,6.9767E-01
35004.0174,7.2258E-01
35004.0208,7.4750E-01
35004.0243,7.7242E-01
35004.0278,7.9733E-01
35004.0312,8.2225E-01
35004.0347,8.4717E-01
35004.0382,8.7208E-01
35004.0417,8.9700E-01
35004.0451,9.2192E-01
35004.0486,9.4683E-01
35004.0521,9.7175E-01
35004.0556,9.9667E-01
35004.0590,1.0216E+00
35004.0625,1.0465E+00
35004.0660,1.0714E+00
35004.0694,1.0963E+00
35004.0729,1.1213E+00
35004.0764,1.1462E+00
35004.0799,1.1711E+00
35004.0833,1.1960E+00
35004.0868,1.1462E+00
35004.0903,1.0963E+00
35004.0937,1.0465E+00
35004.0972,9.9666E-01
35004.1007,9.4683E-01
35004.1042,8.9700E-01
35004.1076,8.4716E-01
35004.1111,7.9733E-01
35004.1146,7.4750E-01
35004.1181,6.9767E-01
35004.1215,6.4783E-01
35004.1250,5.9800E-01
35004.1285,5.4817E-01
35004.1319,4.9833E-01
35004.1354,4.4850E-01
35004.1389,3.9867E-01
35004.1424,3.4884E-01
35004.1458,2.9900E-01
35004.1493,2.4917E-01
35004.1528,1.9934E-01
35004.1562,1.4950E-01
35004.1597,9.9671E-02
35004.1632,4.9838E-02
35004.1667,4.8263E-06
35004.1701,1.7440E-01
35004.1736,3.4882E-01
35004.1771,5.2324E-01
35004.1806,6.9765E-01
35004.1840,8.7207E-01
35004.1875,1.0465E+00
35004.1910,1.2209E+00
35004.1944,1.3953E+00
35004.1979,1.5697E+00
35004.2014,1.7442E+00
35004.2049,1.9186E+00
35004.2083,2.0930E+00
35004.2118,2.2674E+00
35004.2153,2.4418E+00
35004.2187,2.6162E+00
35004.2222,2.7907E+00
35004.2257,2.9651E+00
35004.2292,3.1395E+00
35004.2326,3.3139E+00
35004.2361,3.4883E+00
35004.2396,3.6627E+00
35004.2431,3.8372E+00
35004.2465,4.0116E+00
35004.2500,4.1860E+00
35004.2535,6.2790E+00
35004.2569,8.3720E+00
35004.2604,1.0465E+01
35004.2639,1.2558E+01
35004.2674,1.4651E+01
35004.2708,1.6744E+01
35004.2743,1.8837E+01
35004.2778,2.0930E+01
35004.2812,2.3023E+01
35004.2847,2.5116E+01
35004.2882,2.7209E+01
35004.2917,2.9302E+01
35004.2951,3.1395E+01
35004.2986,3.3488E+01
35004.3021,3.5581E+01
35004.3056,3.7674E+01
35004.3090,3.9767E+01
35004.3125,4.1860E+01
35004.3160,4.3953E+01
35004.3194,4.6046E+01
35004.3229,4.8139E+01
35004.3264,5.0232E+01
35004.3299,5.2325E+01
35004.3333,5.4418E+01
35004.3368,5.7882E+01
35004.3403,6.1345E+01
35004.3437,6.4808E+01
35004.3472,6.8272E+01
35004.3507,7.1735E+01
35004.3542,7.5199E+01
35004.3576,7.8662E+01
35004.3611,8.2125E+01
35004.3646,8.5589E+01
35004.3681,8.9052E+01
35004.3715,9.2516E+01
35004.3750,9.5979E+01
35004.3785,9.9442E+01
35004.3819,1.0291E+02
35004.3854,1.0637E+02
35004.3889,1.0983E+02
35004.3924,1.1330E+02
35004.3958,1.1676E+02
35004.3993,1.2022E+02
35004.4028,1.2369E+02
35004.4062,1.2715E+02
35004.4097,1.3061E+02
35004.4132,1.3408E+02
35004.4167,1.3754E+02
35004.4201,1.3572E+02
35004.4236,1.3390E+02
35004.4271,1.3208E+02
35004.4306,1.3026E+02
35004.4340,1.2845E+02
35004.4375,1.2663E+02
35004.4410,1.2481E+02
35004.4444,1.2299E+02
35004.4479,1.2117E+02
35004.4514,1.1935E+02
35004.4549,1.1753E+02
35004.4583,1.1571E+02
35004.4618,1.1389E+02
35004.4653,1.1208E+02
