t	u (m/s)	v (m/s)	Tair (°C)	Fsol (W/m2)	vap (mbar)	cloud coverage
16075.791844	0.317491	0.756487	2.579627	0.000000	6.097453	0.434078
16075.833512	0.609757	1.017942	1.510275	0.000000	6.100000	0.413244
16075.875180	0.508624	1.204749	1.089636	0.000000	5.900000	0.392410
16075.916848	1.457616	1.185315	0.402613	0.000000	5.800000	0.371576
16075.958516	0.295915	0.415677	0.197365	0.000000	5.797365	0.350742
16076.000185	0.256843	0.659481	-0.392028	0.000000	5.600000	0.329943
16076.041853	0.829627	1.018646	-0.591962	0.000000	5.402679	0.317026
16076.083521	0.817064	0.728395	-1.278387	0.000000	5.202702	0.304109
16076.125189	0.612170	0.327873	-1.194553	0.000000	5.202724	0.291191
16076.166857	-0.116142	-0.607740	-1.305492	0.000000	5.100000	0.278274
16076.208526	0.194233	0.075208	-1.683392	0.000000	5.102768	0.265357
16076.250194	0.179598	-0.074521	-1.388839	0.000000	5.100000	0.252440
16076.291862	0.147650	-0.788730	-0.500000	2.112493	5.300000	0.239523
16076.333530	-0.386300	0.922373	-0.094331	46.453515	5.400000	0.226606
16076.375198	0.389982	0.688495	1.208570	110.000000	5.600000	0.213689
16076.416867	0.657575	-0.194188	3.400000	196.581842	5.800000	0.200771
16076.458535	-1.082343	-0.284733	4.605802	309.319099	6.094198	0.187854
16076.500203	0.161839	0.585923	5.408769	261.116922	5.702923	0.174937
16076.541871	1.077616	0.280664	6.897055	232.412327	5.614726	0.162020
16076.583539	-1.755451	0.353649	6.205935	181.860528	6.194065	0.149103
16076.625208	0.348158	-0.358867	5.802989	33.521683	6.100000	0.136186
16076.666876	-2.208063	-0.642712	4.436140	1.000000	6.590965	0.123268
16076.708544	-0.468169	-0.382204	4.896966	0.000000	6.503034	0.110351
16076.750212	0.474709	0.755528	4.381665	0.000000	6.403056	0.097434
16076.791880	0.026557	0.205561	3.803078	0.000000	6.600000	0.084517
16076.833549	-1.422972	0.727580	4.400000	0.000000	6.600000	0.071600
16076.875217	1.006745	0.075071	4.206245	0.000000	6.800000	0.058683
16076.916885	-0.236094	0.203464	3.096856	0.000000	6.600000	0.045766
16076.958553	1.334561	0.981498	3.996833	0.000000	6.700000	0.032848
16077.000221	0.141292	1.848953	3.609566	0.000000	6.600000	0.020113
16077.041890	-0.625587	0.044475	3.309633	0.000000	6.600000	0.041364
16077.083558	0.877481	0.681613	3.996767	0.000000	6.900000	0.062615
16077.125226	0.515531	0.864249	3.986979	0.000000	7.000000	0.083865
16077.166894	-0.267650	0.651633	4.393445	0.000000	6.903277	0.105116
16077.208562	0.202756	1.088726	4.116498	0.000000	6.996700	0.126367
16077.250231	-0.262476	0.631954	4.006643	0.000000	7.000000	0.147618
16077.291899	0.537423	0.296727	3.610031	0.033438	6.903344	0.168868
16077.333567	0.276721	0.756535	3.400000	62.413693	6.900000	0.190119
16077.375235	-0.865558	-0.487521	5.820328	182.609854	7.206776	0.211370
16077.416903	0.148647	0.155729	8.317051	266.716147	7.400000	0.232621
16077.458572	-1.798222	-0.048705	9.106865	328.171618	7.689703	0.253872
16077.500240	-0.144235	-0.672432	11.082727	329.818232	7.806909	0.275122
16077.541908	-2.112797	-0.183707	11.196523	281.895700	7.700000	0.296373
16077.583576	-1.561034	0.334798	10.996501	207.405204	7.782506	0.317624
16077.625245	0.322182	0.519284	8.385916	25.823953	7.607042	0.338875
16077.666913	-1.304886	0.717574	6.068112	1.929138	7.492914	0.360125
16077.708581	-0.026701	1.589099	4.800000	0.000000	7.200000	0.381376
16077.750249	0.366389	0.717411	5.914350	0.000000	7.400000	0.402627
16077.791917	0.191002	-0.053875	4.807219	0.000000	7.300000	0.423878
16077.833586	0.876198	0.496437	3.400000	0.000000	7.096368	0.445129
16077.875254	0.378995	1.028266	3.200000	0.000000	7.000000	0.466379
16077.916922	-1.022842	0.423440	2.525732	0.000000	6.907352	0.487630
16077.958590	0.210065	0.318694	2.618490	0.000000	6.903698	0.508881
16078.000258	0.448429	0.530250	2.788839	0.000000	6.896280	0.529943
16078.041927	1.038785	0.604201	2.692515	0.000000	6.800000	0.520776
16078.083595	-0.134939	0.618523	3.422587	0.000000	7.000000	0.511609
16078.125263	-0.206006	-0.001959	3.600000	0.000000	7.100000	0.502442
16078.166931	-0.011306	1.007343	4.011426	0.000000	7.400000	0.493275
