t (1st col)	eps_abs [m-1] (2nd col)	z [m] (3rd row)
36222	0.114	0.114
36236	0.136	0.136
36256	0.158	0.158
36271	0.285	0.285
36284	0.285	0.285
36300	0.269	0.269
36312	0.162	0.162
36327	0.250	0.250
36340	0.291	0.291
36355	0.317	0.317
36375	0.297	0.297
36390	0.285	0.285
36410	0.317	0.317
36426	0.432	0.432
36438	0.303	0.303
36452	0.339	0.339
36466	0.234	0.234
36481	0.150	0.150
36494	0.130	0.130
36536	0.097	0.097
36558	0.119	0.119
36571	0.130	0.130
36586	0.124	0.124
36600	0.122	0.122
36614	0.110	0.110
36628	0.238	0.238
36648	0.339	0.339
36662	0.234	0.234
36683	0.102	0.102
36697	0.188	0.188
36711	0.365	0.365
36725	0.356	0.356
36739	0.594	0.594
36774	0.291	0.291
36802	0.193	0.193
36831	0.178	0.178
36865	0.131	0.131
36900	0.114	0.114
36921	0.106	0.106
36942	0.121	0.121
36956	0.132	0.132
36970	0.168	0.168
36984	0.285	0.285
36998	0.250	0.250
37012	0.259	0.259
37027	0.269	0.269
37047	0.339	0.339
37061	0.792	0.792
37075	0.528	0.528
37089	0.407	0.407
37103	0.407	0.407
37117	0.432	0.432
37138	0.475	0.475
37153	0.219	0.219
37167	0.168	0.168
37180	0.259	0.259
37201	0.264	0.264
37215	0.185	0.185
37229	0.164	0.164
37265	0.168	0.168
37285	0.133	0.133
37299	0.143	0.143
37320	0.102	0.102
37334	0.109	0.109
37348	0.136	0.136
37363	0.168	0.168
37377	0.356	0.356
37390	0.570	0.570
37404	0.432	0.432
37418	0.207	0.207
37439	0.407	0.407
37453	0.570	0.570
37475	0.356	0.356
37488	0.317	0.317
37509	0.274	0.274
37523	0.210	0.210
37537	0.185	0.185
37551	0.198	0.198
37566	0.172	0.172
37579	0.180	0.180
37594	0.168	0.168
37628	0.158	0.158
37642	0.130	0.130
37656	0.136	0.136
37670	0.144	0.144
37684	0.188	0.188
37698	0.190	0.190
37712	0.176	0.176
37747	0.230	0.230
37775	0.339	0.339
37803	0.509	0.509
37838	0.285	0.285
37866	0.445	0.445
37901	0.219	0.219
37929	0.172	0.172
37959	0.143	0.143
37992	0.123	0.123
38021	0.110	0.110
38048	0.110	0.110
38084	0.143	0.143
38111	0.432	0.432
38139	0.356	0.356
38174	0.648	0.648
38202	0.528	0.528
38230	0.317	0.317
38265	0.269	0.269
38293	0.216	0.216
38321	0.226	0.226
38363	0.183	0.183
38384	0.143	0.143
38412	0.110	0.110
38447	0.176	0.176
38475	0.339	0.339
38510	0.339	0.339
38538	0.792	0.792
38566	0.407	0.407
38601	0.310	0.310
38629	0.213	0.213
38657	0.168	0.168
38685	0.190	0.190
38727	0.204	0.204
38748	0.130	0.130
38776	0.100	0.100
38812	0.219	0.219
38839	0.407	0.407
38874	0.407	0.407
38902	0.679	0.679
38930	0.375	0.375
38965	0.407	0.407
38993	0.238	0.238
39028	0.219	0.219
39056	0.150	0.150
