"",0.160,0.480,0.800,1.120,1.440,1.760,2.080,2.400,2.720,3.040,3.360,3.680,4.000,4.320,4.640,4.960,5.280,5.600,5.920,6.240,6.560,6.880,7.200,7.520,7.840,8.160,8.480,8.800,9.120,9.440,9.760,10.080,10.400,10.720,11.040,11.360,11.680,12.000,12.320,12.640,12.960,13.280,13.600,13.920,14.240,14.560,14.880,15.200,15.520,15.840
16071.9000,6.969153-164,5.145504-156,7.124100-152,1.038434-147,1.247157-143,6.055076-141,2.834410-138,1.299147-135,5.968199-133,3.480691-130,1.927653-126,3.009629-122,4.822823-118,7.903738-114,2.288567-109,7.014842-105,2.257899-100,2.735751E-96,1.278260E-93,5.806764E-91,2.637037E-88,1.188482E-85,5.312515E-83,2.353715E-80,1.032868E-77,4.485762E-75,1.933723E-72,8.233598E-70,3.459241E-67,1.432442E-64,5.838903E-62,2.339543E-59,9.200857E-57,3.545024E-54,1.335396E-51,4.906731E-49,1.753874E-46,6.079275E-44,2.035338E-41,6.551710E-39,2.056365E-36,1.745842E-33,2.039496E-29,2.408311E-25,2.636818E-21,1.330505E-17,2.682973E-15,1.149328E-12,6.266895E-09,3.138846E-05
16071.9500,4.192748-163,3.037936-155,4.126900-151,5.900043-147,6.946619-143,3.324455-140,1.524696-137,6.844108-135,3.079922-132,1.801568-129,9.760596-126,1.490207-121,2.334159-117,3.737189-113,1.056737-108,3.161434-104,9.926134-100,1.172258E-95,5.354397E-93,2.368087E-90,1.046293E-87,4.584558E-85,1.990923E-82,8.563008E-80,3.644943E-77,1.534252E-74,6.404670E-72,2.638438E-69,1.071495E-66,4.284698E-64,1.684894E-61,6.506030E-59,2.463086E-56,9.124961E-54,3.300951E-51,1.163172E-48,3.981108E-46,1.318988E-43,4.212094E-41,1.290089E-38,3.857877E-36,3.240321E-33,3.564616E-29,3.953806E-25,4.053913E-21,1.910019E-17,3.612460E-15,1.504915E-12,7.547198E-09,3.457151E-05
16072.0000,4.192748-163,3.037936-155,4.126900-151,5.900043-147,6.946619-143,3.324455-140,1.524696-137,6.844108-135,3.079922-132,1.801568-129,9.760596-126,1.490207-121,2.334159-117,3.737189-113,1.056737-108,3.161434-104,9.926134-100,1.172258E-95,5.354397E-93,2.368087E-90,1.046293E-87,4.584558E-85,1.990923E-82,8.563008E-80,3.644943E-77,1.534252E-74,6.404670E-72,2.638438E-69,1.071495E-66,4.284698E-64,1.684894E-61,6.506030E-59,2.463086E-56,9.124961E-54,3.300951E-51,1.163172E-48,3.981108E-46,1.318988E-43,4.212094E-41,1.290089E-38,3.857877E-36,3.240321E-33,3.564616E-29,3.953806E-25,4.053913E-21,1.910019E-17,3.612460E-15,1.504915E-12,7.547198E-09,3.457151E-05
16072.0500,2.310826-162,1.643789-154,2.191841-150,3.074718-146,3.550507-142,1.675557-139,7.532707-137,3.313155-134,1.461371-131,8.565584-129,4.542389-125,6.785638-121,1.039521-116,1.627082-112,4.495893-108,1.313732-103,4.026624E-99,4.638781E-95,2.072967E-92,8.933935E-90,3.844025E-87,1.639223E-84,6.923270E-82,2.893989E-79,1.196356E-76,4.886961E-74,1.978205E-71,7.895871E-69,3.104225E-66,1.200625E-63,4.562255E-61,1.700655E-58,6.208958E-56,2.215752E-53,7.711662E-51,2.610847E-48,8.572457E-46,2.719850E-43,8.300927E-41,2.424311E-38,6.926063E-36,5.745645E-33,5.975783E-29,6.253085E-25,6.032333E-21,2.666894E-17,4.754573E-15,1.926157E-12,8.941413E-09,3.766011E-05
16072.1000,2.310826-162,1.643789-154,2.191841-150,3.074718-146,3.550507-142,1.675557-139,7.532707-137,3.313155-134,1.461371-131,8.565584-129,4.542389-125,6.785638-121,1.039521-116,1.627082-112,4.495893-108,1.313732-103,4.026624E-99,4.638781E-95,2.072967E-92,8.933935E-90,3.844025E-87,1.639223E-84,6.923270E-82,2.893989E-79,1.196356E-76,4.886961E-74,1.978205E-71,7.895871E-69,3.104225E-66,1.200625E-63,4.562255E-61,1.700655E-58,6.208958E-56,2.215752E-53,7.711662E-51,2.610847E-48,8.572457E-46,2.719850E-43,8.300927E-41,2.424311E-38,6.926063E-36,5.745645E-33,5.975783E-29,6.253085E-25,6.032333E-21,2.666894E-17,4.754573E-15,1.926157E-12,8.941413E-09,3.766011E-05
16072.1500,1.178515-161,8.233338-154,1.078021-149,1.484451-145,1.681913-141,7.830011-139,3.452119-136,1.488488-133,6.438861-131,3.778752-128,1.962495-124,2.870067-120,4.302757-116,6.587960-112,1.780011-107,5.083732-103,1.522183E-98,1.711897E-94,7.490338E-92,3.148329E-89,1.320370E-86,5.484792E-84,2.255159E-81,9.171221E-79,3.686078E-76,1.462899E-73,5.749142E-71,2.226173E-68,8.483884E-66,3.178113E-63,1.168635E-60,4.211583E-58,1.485048E-55,5.112830E-53,1.714693E-50,5.586520E-48,1.762547E-45,5.364482E-43,1.567606E-40,4.374646E-38,1.197135E-35,9.798989E-33,9.668423E-29,9.579748E-25,8.729500E-21,3.636165E-17,6.136608E-15,2.418442E-12,1.045025E-08,4.076942E-05
16072.2000,1.178515-161,8.233338-154,1.078021-149,1.484451-145,1.681913-141,7.830011-139,3.452119-136,1.488488-133,6.438861-131,3.778752-128,1.962495-124,2.870067-120,4.302757-116,6.587960-112,1.780011-107,5.083732-103,1.522183E-98,1.711897E-94,7.490338E-92,3.148329E-89,1.320370E-86,5.484792E-84,2.255159E-81,9.171221E-79,3.686078E-76,1.462899E-73,5.749142E-71,2.226173E-68,8.483884E-66,3.178113E-63,1.168635E-60,4.211583E-58,1.485048E-55,5.112830E-53,1.714693E-50,5.586520E-48,1.762547E-45,5.364482E-43,1.567606E-40,4.374646E-38,1.197135E-35,9.798989E-33,9.668423E-29,9.579748E-25,8.729500E-21,3.636165E-17,6.136608E-15,2.418442E-12,1.045025E-08,4.076942E-05
16072.2500,5.607454-161,3.848821-153,4.950306-149,6.694001-145,7.444844-141,3.420314-138,1.479504-135,6.256743-133,2.655799-130,1.559495-127,7.935958-124,1.136817-119,1.668780-115,2.500835-111,6.611318-107,1.846700-102,5.405346E-98,5.938679E-94,2.546007E-91,1.044492E-88,4.273142E-86,1.730601E-83,6.933425E-81,2.745811E-78,1.074013E-75,4.145504E-73,1.583392E-70,5.954650E-68,2.202306E-65,8.000058E-63,2.850211E-60,9.943188E-58,3.390628E-55,1.127718E-52,3.649403E-50,1.145822E-47,3.478892E-45,1.017348E-42,2.851458E-40,7.618614E-38,2.001863E-35,1.615869E-32,1.517027E-28,1.427810E-24,1.233141E-20,4.856432E-17,7.787042E-15,2.987188E-12,1.207444E-08,4.390036E-05
16072.3000,5.607454-161,3.848821-153,4.950306-149,6.694001-145,7.444844-141,3.420314-138,1.479504-135,6.256743-133,2.655799-130,1.559495-127,7.935958-124,1.136817-119,1.668780-115,2.500835-111,6.611318-107,1.846700-102,5.405346E-98,5.938679E-94,2.546007E-91,1.044492E-88,4.273142E-86,1.730601E-83,6.933425E-81,2.745811E-78,1.074013E-75,4.145504E-73,1.583392E-70,5.954650E-68,2.202306E-65,8.000058E-63,2.850211E-60,9.943188E-58,3.390628E-55,1.127718E-52,3.649403E-50,1.145822E-47,3.478892E-45,1.017348E-42,2.851458E-40,7.618614E-38,2.001863E-35,1.615869E-32,1.517027E-28,1.427810E-24,1.233141E-20,4.856432E-17,7.787042E-15,2.987188E-12,1.207444E-08,4.390036E-05
16072.3500,2.506264-160,1.690687-152,2.136883-148,2.838674-144,3.100204-140,1.406071-137,5.969956-135,2.477256-132,1.032354-129,6.061969-127,3.024100-123,4.245364-119,6.105305-115,8.960144-111,2.318998-106,6.338984-102,1.814948E-97,1.949277E-93,8.193650E-91,3.283246E-88,1.311290E-85,5.181726E-83,2.024488E-80,7.814157E-78,2.977204E-75,1.118655E-72,4.156674E-70,1.519699E-67,5.460231E-65,1.925431E-62,6.653664E-60,2.249471E-57,7.426731E-55,2.389121E-52,7.469578E-50,2.263075E-47,6.621406E-45,1.863255E-42,5.017368E-40,1.285863E-37,3.251498E-35,2.587292E-32,2.317299E-28,2.077500E-24,1.705536E-20,6.369962E-17,9.735873E-15,3.638487E-12,1.382828E-08,4.741893E-05
