"",0.000,0.320,0.640,0.960,1.280,1.600,1.920,2.240,2.560,2.880,3.200,3.520,3.840,4.160,4.480,4.800,5.120,5.440,5.760,6.080,6.400,6.720,7.040,7.360,7.680,8.000,8.320,8.640,8.960,9.280,9.600,9.920,10.240,10.560,10.880,11.200,11.520,11.840,12.160,12.480,12.800,13.120,13.440,13.760,14.080,14.400,14.720,15.040,15.360,15.680,16.000
16071.9000,0.000000E+00,1.432015-314,2.662285-306,6.952936-298,2.505243-288,6.147998-283,1.347062-277,2.822634-272,4.715071-267,1.701352-262,1.855982-255,4.407418-247,1.104087-238,1.673184-230,1.321573-221,1.178229-212,3.229167-203,1.225653-193,2.739487-188,5.653068-183,1.165864-177,2.368026-172,4.731355-167,9.287007-162,1.788294-156,3.372877-151,6.267603-146,1.136232-140,2.005494-135,3.438611-130,5.712907-125,9.171044-120,1.418309-114,2.105256-109,2.986980-104,4.032140E-99,5.150829E-94,6.187317E-89,6.932886E-84,7.038389E-79,2.433972E-74,1.265865E-69,1.591924E-61,2.193073E-53,5.112575E-45,2.849238E-36,4.602880E-32,6.156395E-28,1.442324E-20,3.573585E-13,0.000000E+00
16071.9500,0.000000E+00,4.990974-313,8.932649-305,2.244406-296,7.726855-287,1.853044-281,3.897391-276,7.827580-271,1.224851-265,4.557787-261,4.757959-254,1.080389-245,2.585696-237,3.739764-229,2.816828-220,2.392363-211,6.239992-202,2.242201-192,4.806021-187,9.400365-182,1.835077-176,3.523111-171,6.643887-166,1.228985-160,2.226660-155,3.944958-150,6.874242-145,1.166532-139,1.923765-134,3.075939-129,4.756027-124,7.090695-119,1.016175-113,1.394500-108,1.824628-103,2.265246E-98,2.653123E-93,2.911653E-88,2.967987E-83,2.716037E-78,8.187753E-74,4.360443E-69,4.860930E-61,5.909498E-53,1.208263E-44,5.829033E-36,7.970804E-32,1.055409E-27,2.091147E-20,4.333446E-13,0.000000E+00
16072.0000,0.000000E+00,4.990974-313,8.932649-305,2.244406-296,7.726855-287,1.853044-281,3.897391-276,7.827580-271,1.224851-265,4.557787-261,4.757959-254,1.080389-245,2.585696-237,3.739764-229,2.816828-220,2.392363-211,6.239992-202,2.242201-192,4.806021-187,9.400365-182,1.835077-176,3.523111-171,6.643887-166,1.228985-160,2.226660-155,3.944958-150,6.874242-145,1.166532-139,1.923765-134,3.075939-129,4.756027-124,7.090695-119,1.016175-113,1.394500-108,1.824628-103,2.265246E-98,2.653123E-93,2.911653E-88,2.967987E-83,2.716037E-78,8.187753E-74,4.360443E-69,4.860930E-61,5.909498E-53,1.208263E-44,5.829033E-36,7.970804E-32,1.055409E-27,2.091147E-20,4.333446E-13,0.000000E+00
16072.0500,0.000000E+00,1.461020-311,2.519349-303,6.095113-295,2.006834-285,4.706658-280,9.511598-275,1.832754-269,2.693852-264,1.030274-259,1.030358-252,2.239731-244,5.127417-236,7.086763-228,5.097064-219,4.129873-210,1.026710-200,3.498334-191,7.202480-186,1.337731-180,2.476580-175,4.503369-170,8.032747-165,1.403504-159,2.398375-154,4.001730-149,6.556809-144,1.044524-138,1.614321-133,2.414685-128,3.486283-123,4.843830-118,6.455681-113,8.220314-108,9.955788-103,1.140951E-97,1.229781E-92,1.237672E-87,1.152228E-82,9.543447E-78,2.534328E-73,1.370895E-68,1.365555E-60,1.477756E-52,2.674978E-44,1.127988E-35,1.325290E-31,1.728765E-27,2.934186E-20,5.140923E-13,0.000000E+00
16072.1000,0.000000E+00,1.461020-311,2.519349-303,6.095113-295,2.006834-285,4.706658-280,9.511598-275,1.832754-269,2.693852-264,1.030274-259,1.030358-252,2.239731-244,5.127417-236,7.086763-228,5.097064-219,4.129873-210,1.026710-200,3.498334-191,7.202480-186,1.337731-180,2.476580-175,4.503369-170,8.032747-165,1.403504-159,2.398375-154,4.001730-149,6.556809-144,1.044524-138,1.614321-133,2.414685-128,3.486283-123,4.843830-118,6.455681-113,8.220314-108,9.955788-103,1.140951E-97,1.229781E-92,1.237672E-87,1.152228E-82,9.543447E-78,2.534328E-73,1.370895E-68,1.365555E-60,1.477756E-52,2.674978E-44,1.127988E-35,1.325290E-31,1.728765E-27,2.934186E-20,5.140923E-13,0.000000E+00
16072.1500,0.000000E+00,3.664815-310,6.093431-302,1.420637-293,4.477531-284,1.027702-278,1.997405-273,3.695816-268,5.115586-263,2.005022-258,1.923041-251,4.006140-243,8.782962-235,1.161464-226,7.987210-218,6.182337-209,1.467037-199,4.747297-190,9.402258-185,1.661028-179,2.921482-174,5.040947-169,8.521659-164,1.409289-158,2.276400-153,3.585250-148,5.536996-143,8.301403-138,1.205550-132,1.691580-127,2.286998-122,2.969938-117,3.692161-112,4.375805-107,4.920797-102,5.222308E-97,5.197158E-92,4.813138E-87,4.107461E-82,3.091421E-77,7.299073E-73,3.987107E-68,3.573255E-60,3.467522E-52,5.601046E-44,2.081169E-35,2.127271E-31,2.725060E-27,4.006784E-20,6.023013E-13,0.000000E+00
16072.2000,0.000000E+00,3.664815-310,6.093431-302,1.420637-293,4.477531-284,1.027702-278,1.997405-273,3.695816-268,5.115586-263,2.005022-258,1.923041-251,4.006140-243,8.782962-235,1.161464-226,7.987210-218,6.182337-209,1.467037-199,4.747297-190,9.402258-185,1.661028-179,2.921482-174,5.040947-169,8.521659-164,1.409289-158,2.276400-153,3.585250-148,5.536996-143,8.301403-138,1.205550-132,1.691580-127,2.286998-122,2.969938-117,3.692161-112,4.375805-107,4.920797-102,5.222308E-97,5.197158E-92,4.813138E-87,4.107461E-82,3.091421E-77,7.299073E-73,3.987107E-68,3.573255E-60,3.467522E-52,5.601046E-44,2.081169E-35,2.127271E-31,2.725060E-27,4.006784E-20,6.023013E-13,0.000000E+00
16072.2500,0.000000E+00,8.007393-309,1.284722-300,2.888703-292,8.723053-283,1.960749-277,3.668336-272,6.523620-267,8.523326-262,3.414846-257,3.144281-250,6.284206-242,1.320873-233,1.673202-225,1.101506-216,8.155372-208,1.849675-198,5.692725-189,1.086125-183,1.827935-178,3.059419-173,5.017827-168,8.053662-163,1.263028-157,1.932244-152,2.878502-147,4.199166-142,5.938288-137,8.121999-132,1.071639-126,1.360085-121,1.655036-116,1.924219-111,2.128265-106,2.228378-101,2.196288E-96,2.024106E-91,1.730487E-86,1.358448E-81,9.325871E-77,1.973875E-72,1.084112E-67,8.793853E-60,7.701074E-52,1.117531E-43,3.684202E-35,3.311153E-31,4.156988E-27,5.347420E-20,6.980724E-13,0.000000E+00
16072.3000,0.000000E+00,8.007393-309,1.284722-300,2.888703-292,8.723053-283,1.960749-277,3.668336-272,6.523620-267,8.523326-262,3.414846-257,3.144281-250,6.284206-242,1.320873-233,1.673202-225,1.101506-216,8.155372-208,1.849675-198,5.692725-189,1.086125-183,1.827935-178,3.059419-173,5.017827-168,8.053662-163,1.263028-157,1.932244-152,2.878502-147,4.199166-142,5.938288-137,8.121999-132,1.071639-126,1.360085-121,1.655036-116,1.924219-111,2.128265-106,2.228378-101,2.196288E-96,2.024106E-91,1.730487E-86,1.358448E-81,9.325871E-77,1.973875E-72,1.084112E-67,8.793853E-60,7.701074E-52,1.117531E-43,3.684202E-35,3.311153E-31,4.156988E-27,5.347420E-20,6.980724E-13,0.000000E+00
16072.3500,0.000000E+00,1.544891-307,2.393557-299,5.194479-291,1.504141-281,3.313227-276,5.972011-271,1.021600-265,1.262652-260,5.159512-256,4.565266-249,8.762464-241,1.767633-232,2.147249-224,1.354792-215,9.606247-207,2.085057-197,6.111510-188,1.124724-182,1.805887-177,2.880541-172,4.497809-167,6.865249-162,1.022731-156,1.484511-151,2.095679-146,2.893321-141,3.867044-136,4.991619-131,6.206206-126,7.410333-121,8.468693-116,9.229624-111,9.549694-106,9.332964-101,8.565008E-96,7.330242E-91,5.802703E-86,4.204030E-81,2.641933E-76,5.049479E-72,2.779190E-67,2.051178E-59,1.630026E-51,2.137478E-43,6.289829E-35,5.016716E-31,6.166538E-27,7.011574E-20,8.141735E-13,0.000000E+00
16072.4000,0.000000E+00,1.544891-307,2.393557-299,5.194479-291,1.504141-281,3.313227-276,5.972011-271,1.021600-265,1.262652-260,5.159512-256,4.565266-249,8.762464-241,1.767633-232,2.147249-224,1.354792-215,9.606247-207,2.085057-197,6.111510-188,1.124724-182,1.805887-177,2.880541-172,4.497809-167,6.865249-162,1.022731-156,1.484511-151,2.095679-146,2.893321-141,3.867044-136,4.991619-131,6.206206-126,7.410333-121,8.468693-116,9.229624-111,9.549694-106,9.332964-101,8.565008E-96,7.330242E-91,5.802703E-86,4.204030E-81,2.641933E-76,5.049479E-72,2.779190E-67,2.051178E-59,1.630026E-51,2.137478E-43,6.289829E-35,5.016716E-31,6.166538E-27,7.011574E-20,8.141735E-13,0.000000E+00
16072.4500,0.000000E+00,2.662380-306,3.986128-298,8.355523-290,2.321976-280,5.015340-275,8.716652-270,1.435488-264,1.681766-259,6.994997-255,5.953302-248,1.098416-239,2.128742-231,2.482389-223,1.502741-214,1.021605-205,2.124581-196,5.938224-187,1.055391-181,1.618835-176,2.464300-171,3.668570-166,5.333110-161,7.558704-156,1.042660-150,1.397163-145,1.828712-140,2.314133-135,2.824312-130,3.315304-125,3.731486-120,4.013091-115,4.108470-110,3.985381-105,3.643871-100,3.121286E-95,2.487146E-90,1.828177E-85,1.226192E-80,7.077320E-76,1.229479E-71,6.763531E-67,4.563098E-59,3.306646E-51,3.938489E-43,1.039996E-34,7.421917E-31,8.928574E-27,9.049230E-20,9.394740E-13,0.000000E+00
16072.5000,0.000000E+00,2.662380-306,3.986128-298,8.355523-290,2.321976-280,5.015340-275,8.716652-270,1.435488-264,1.681766-259,6.994997-255,5.953302-248,1.098416-239,2.128742-231,2.482389-223,1.502741-214,1.021605-205,2.124581-196,5.938224-187,1.055391-181,1.618835-176,2.464300-171,3.668570-166,5.333110-161,7.558704-156,1.042660-150,1.397163-145,1.828712-140,2.314133-135,2.824312-130,3.315304-125,3.731486-120,4.013091-115,4.108470-110,3.985381-105,3.643871-100,3.121286E-95,2.487146E-90,1.828177E-85,1.226192E-80,7.077320E-76,1.229479E-71,6.763531E-67,4.563098E-59,3.306646E-51,3.938489E-43,1.039996E-34,7.421917E-31,8.928574E-27,9.049230E-20,9.394740E-13,0.000000E+00
16072.5500,0.000000E+00,4.138779-305,5.992179-297,1.214054-288,3.240422-279,6.867225-274,1.151733-268,1.827358-263,2.033171-258,8.592492-254,7.040248-247,1.249802-238,2.329160-230,2.609939-222,1.517447-213,9.901282-205,1.975097-195,5.270291-186,9.055932-181,1.328633-175,1.932677-170,2.746724-165,3.808240-160,5.142458-155,6.751175-150,8.600177-145,1.068845-139,1.282695-134,1.482647-129,1.645987-124,1.749482-119,1.773911-114,1.709254-109,1.557616-104,1.335196E-99,1.069958E-94,7.957473E-90,5.445665E-85,3.391209E-80,1.803276E-75,2.864052E-71,1.571470E-66,9.731933E-59,6.458766E-51,7.019677E-43,1.671296E-34,1.074966E-30,1.265177E-26,1.149199E-19,1.055914E-12,0.000000E+00
