"",0.160,0.480,0.800,1.120,1.440,1.760,2.080,2.400,2.720,3.040,3.360,3.680,4.000,4.320,4.640,4.960,5.280,5.600,5.920,6.240,6.560,6.880,7.200,7.520,7.840,8.160,8.480,8.800,9.120,9.440,9.760,10.080,10.400,10.720,11.040,11.360,11.680,12.000,12.320,12.640,12.960,13.280,13.600,13.920,14.240,14.560,14.880,15.200,15.520,15.840
16072.0500,5.813179-164,4.136406-156,5.517162-152,7.741764-148,8.942337-144,4.221268-141,1.898249-138,8.351376-136,3.684561-133,2.160153-130,1.145787-126,1.711959-122,2.623062-118,4.106241-114,1.134737-109,3.315982-105,1.016368-100,1.170824E-96,5.231517E-94,2.254182E-91,9.696164E-89,4.133016E-86,1.744589E-83,7.287126E-81,3.009585E-78,1.227897E-75,4.962923E-73,1.977181E-70,7.754976E-68,2.990679E-65,1.132331E-62,4.202066E-60,1.525616E-57,5.406683E-55,1.865449E-52,6.247000E-50,2.022986E-47,6.306389E-45,1.881532E-42,5.334946E-40,1.465570E-37,1.153441E-34,1.122570E-30,1.069988E-26,9.012947E-23,3.244673E-19,4.193294E-17,1.066223E-14,4.145092E-11,3.659372E-07
16072.1000,5.813179-164,4.136406-156,5.517162-152,7.741764-148,8.942337-144,4.221268-141,1.898249-138,8.351376-136,3.684561-133,2.160153-130,1.145787-126,1.711959-122,2.623062-118,4.106241-114,1.134737-109,3.315982-105,1.016368-100,1.170824E-96,5.231517E-94,2.254182E-91,9.696164E-89,4.133016E-86,1.744589E-83,7.287126E-81,3.009585E-78,1.227897E-75,4.962923E-73,1.977181E-70,7.754976E-68,2.990679E-65,1.132331E-62,4.202066E-60,1.525616E-57,5.406683E-55,1.865449E-52,6.247000E-50,2.022986E-47,6.306389E-45,1.881532E-42,5.334946E-40,1.465570E-37,1.153441E-34,1.122570E-30,1.069988E-26,9.012947E-23,3.244673E-19,4.193294E-17,1.066223E-14,4.145092E-11,3.659372E-07
16072.1500,2.968988-163,2.074709-155,2.717147-151,3.742422-147,4.241178-143,1.974856-140,8.708468-138,3.755575-135,1.624822-132,9.536743-130,4.953378-126,7.244557-122,1.086118-117,1.662922-113,4.492742-109,1.282958-104,3.840665-100,4.318072E-96,1.888614E-93,7.934178E-91,3.325354E-88,1.380233E-85,5.669383E-83,2.302780E-80,9.241401E-78,3.660943E-75,1.435542E-72,5.543694E-70,2.105773E-67,7.857009E-65,2.875171E-62,1.030068E-59,3.606002E-57,1.230549E-54,4.082062E-52,1.312055E-49,4.070117E-47,1.212683E-44,3.448991E-42,9.294665E-40,2.429768E-37,1.871825E-34,1.712274E-30,1.528240E-26,1.200789E-22,4.029287E-19,4.960972E-17,1.340276E-14,5.774038E-11,4.374491E-07
16072.2000,2.968988-163,2.074709-155,2.717147-151,3.742422-147,4.241178-143,1.974856-140,8.708468-138,3.755575-135,1.624822-132,9.536743-130,4.953378-126,7.244557-122,1.086118-117,1.662922-113,4.492742-109,1.282958-104,3.840665-100,4.318072E-96,1.888614E-93,7.934178E-91,3.325354E-88,1.380233E-85,5.669383E-83,2.302780E-80,9.241401E-78,3.660943E-75,1.435542E-72,5.543694E-70,2.105773E-67,7.857009E-65,2.875171E-62,1.030068E-59,3.606002E-57,1.230549E-54,4.082062E-52,1.312055E-49,4.070117E-47,1.212683E-44,3.448991E-42,9.294665E-40,2.429768E-37,1.871825E-34,1.712274E-30,1.528240E-26,1.200789E-22,4.029287E-19,4.960972E-17,1.340276E-14,5.774038E-11,4.374491E-07
16072.2500,1.414246-162,9.708838-155,1.248954-150,1.689149-146,1.878876-142,8.632960-140,3.734652-137,1.579469-134,6.704599-132,3.936958-129,2.003352-125,2.869522-121,4.211687-117,6.310338-113,1.667766-108,4.656790-104,1.362432E-99,1.496006E-95,6.409123E-93,2.627095E-90,1.073674E-87,4.342968E-85,1.737384E-82,6.868338E-80,2.680864E-77,1.032169E-74,3.930604E-72,1.472898E-69,5.424213E-67,1.960327E-64,6.941350E-62,2.403703E-59,8.123733E-57,2.672820E-54,8.535961E-52,2.636988E-49,7.847536E-47,2.238300E-44,6.079302E-42,1.560359E-39,3.891981E-37,2.934591E-34,2.532902E-30,2.127031E-26,1.568983E-22,4.952237E-19,5.878528E-17,1.654777E-14,6.622269E-11,2.262645E-07
16072.3000,1.414246-162,9.708838-155,1.248954-150,1.689149-146,1.878876-142,8.632960-140,3.734652-137,1.579469-134,6.704599-132,3.936958-129,2.003352-125,2.869522-121,4.211687-117,6.310338-113,1.667766-108,4.656790-104,1.362432E-99,1.496006E-95,6.409123E-93,2.627095E-90,1.073674E-87,4.342968E-85,1.737384E-82,6.868338E-80,2.680864E-77,1.032169E-74,3.930604E-72,1.472898E-69,5.424213E-67,1.960327E-64,6.941350E-62,2.403703E-59,8.123733E-57,2.672820E-54,8.535961E-52,2.636988E-49,7.847536E-47,2.238300E-44,6.079302E-42,1.560359E-39,3.891981E-37,2.934591E-34,2.532902E-30,2.127031E-26,1.568983E-22,4.952237E-19,5.878528E-17,1.654777E-14,6.622269E-11,2.262645E-07
16072.3500,6.326098-162,4.267959-154,5.394820-150,7.167067-146,7.827712-142,3.550240-139,1.507346-136,6.254429-134,2.606165-131,1.530108-128,7.631629-125,1.071080-120,1.539819-116,2.258902-112,5.843355-108,1.596300-103,4.567079E-99,4.900778E-95,2.057858E-92,8.235855E-90,3.284552E-87,1.295724E-84,5.052246E-82,1.945496E-79,7.391908E-77,2.768424E-74,1.024757E-71,3.729690E-69,1.332942E-66,4.670745E-64,1.602000E-61,5.367855E-59,1.753374E-56,5.568437E-54,1.714139E-51,5.096192E-49,1.456956E-46,3.984232E-44,1.035207E-41,2.535775E-39,6.050446E-37,4.466420E-34,3.650497E-30,2.897150E-26,2.017769E-22,6.034494E-19,6.944070E-17,1.980178E-14,6.843400E-11,5.642272E-08
16072.4000,6.326098-162,4.267959-154,5.394820-150,7.167067-146,7.827712-142,3.550240-139,1.507346-136,6.254429-134,2.606165-131,1.530108-128,7.631629-125,1.071080-120,1.539819-116,2.258902-112,5.843355-108,1.596300-103,4.567079E-99,4.900778E-95,2.057858E-92,8.235855E-90,3.284552E-87,1.295724E-84,5.052246E-82,1.945496E-79,7.391908E-77,2.768424E-74,1.024757E-71,3.729690E-69,1.332942E-66,4.670745E-64,1.602000E-61,5.367855E-59,1.753374E-56,5.568437E-54,1.714139E-51,5.096192E-49,1.456956E-46,3.984232E-44,1.035207E-41,2.535775E-39,6.050446E-37,4.466420E-34,3.650497E-30,2.897150E-26,2.017769E-22,6.034494E-19,6.944070E-17,1.980178E-14,6.843400E-11,5.642272E-08
16072.4500,2.672694-161,1.772634-153,2.202431-149,2.875172-145,3.084471-141,1.381359-138,5.758361-136,2.345130-133,9.597167-131,5.630757-128,2.753940-124,3.788885-120,5.337877-116,7.670859-112,1.943198-107,5.196429-103,1.454686E-98,1.526366E-94,6.285607E-92,2.457719E-89,9.570978E-87,3.684788E-84,1.401380E-81,5.260322E-79,1.947037E-76,7.098971E-74,2.556349E-71,9.044417E-69,3.139611E-66,1.067653E-63,3.550405E-61,1.152243E-58,3.641342E-56,1.117460E-53,3.319480E-51,9.509239E-49,2.615186E-46,6.866880E-44,1.709708E-41,4.004704E-39,9.163056E-37,6.625605E-34,5.145052E-30,3.874782E-26,2.561247E-22,7.305518E-19,8.215636E-17,2.429352E-14,9.452802E-11,7.014536E-07
16072.5000,2.672694-161,1.772634-153,2.202431-149,2.875172-145,3.084471-141,1.381359-138,5.758361-136,2.345130-133,9.597167-131,5.630757-128,2.753940-124,3.788885-120,5.337877-116,7.670859-112,1.943198-107,5.196429-103,1.454686E-98,1.526366E-94,6.285607E-92,2.457719E-89,9.570978E-87,3.684788E-84,1.401380E-81,5.260322E-79,1.947037E-76,7.098971E-74,2.556349E-71,9.044417E-69,3.139611E-66,1.067653E-63,3.550405E-61,1.152243E-58,3.641342E-56,1.117460E-53,3.319480E-51,9.509239E-49,2.615186E-46,6.866880E-44,1.709708E-41,4.004704E-39,9.163056E-37,6.625605E-34,5.145052E-30,3.874782E-26,2.561247E-22,7.305518E-19,8.215636E-17,2.429352E-14,9.452802E-11,7.014536E-07
