t	z_ga	ga1
32913	0.190401	0.190401
32914	0.190543	0.190543
32915	0.190686	0.190686
32916	0.190828	0.190828
32917	0.190970	0.190970
32918	0.191112	0.191112
32919	0.191254	0.191254
32920	0.191397	0.191397
32921	0.191539	0.191539
32922	0.191681	0.191681
32923	0.193153	0.193153
32924	0.194625	0.194625
32925	0.196096	0.196096
32926	0.197568	0.197568
32927	0.199040	0.199040
32928	0.200512	0.200512
32929	0.201984	0.201984
32930	0.203455	0.203455
32931	0.204927	0.204927
32932	0.206399	0.206399
32933	0.207871	0.207871
32934	0.209343	0.209343
32935	0.210814	0.210814
32936	0.212286	0.212286
32937	0.213758	0.213758
32938	0.215230	0.215230
32939	0.216701	0.216701
32940	0.218173	0.218173
32941	0.219645	0.219645
32942	0.221117	0.221117
32943	0.222589	0.222589
32944	0.224060	0.224060
32945	0.225532	0.225532
32946	0.227004	0.227004
32947	0.228476	0.228476
32948	0.229948	0.229948
32949	0.231419	0.231419
32950	0.232891	0.232891
32951	0.234363	0.234363
32952	0.235547	0.235547
32953	0.236731	0.236731
32954	0.237915	0.237915
32955	0.239099	0.239099
32956	0.240283	0.240283
32957	0.241467	0.241467
32958	0.242650	0.242650
32959	0.243834	0.243834
32960	0.245018	0.245018
32961	0.246202	0.246202
32962	0.247386	0.247386
32963	0.248570	0.248570
32964	0.249754	0.249754
32965	0.250938	0.250938
32966	0.252122	0.252122
32967	0.253306	0.253306
32968	0.254490	0.254490
32969	0.255674	0.255674
32970	0.256858	0.256858
32971	0.258042	0.258042
32972	0.259225	0.259225
32973	0.260409	0.260409
32974	0.261593	0.261593
32975	0.262777	0.262777
32976	0.263961	0.263961
32977	0.265145	0.265145
32978	0.266329	0.266329
32979	0.264764	0.264764
32980	0.263199	0.263199
32981	0.261635	0.261635
32982	0.260070	0.260070
32983	0.258505	0.258505
32984	0.256940	0.256940
32985	0.255376	0.255376
32986	0.253811	0.253811
32987	0.252246	0.252246
32988	0.250681	0.250681
32989	0.249117	0.249117
32990	0.247552	0.247552
32991	0.245987	0.245987
32992	0.244422	0.244422
32993	0.242858	0.242858
32994	0.241293	0.241293
32995	0.239728	0.239728
32996	0.238163	0.238163
32997	0.236598	0.236598
32998	0.235034	0.235034
32999	0.233469	0.233469
33000	0.231904	0.231904
33001	0.230339	0.230339
33002	0.228775	0.228775
33003	0.227210	0.227210
33004	0.225645	0.225645
33005	0.224080	0.224080
33006	0.222516	0.222516
33007	0.220951	0.220951
33008	0.219386	0.219386
33009	0.220850	0.220850
33010	0.222313	0.222313
33011	0.223777	0.223777
33012	0.225240	0.225240
33013	0.226704	0.226704
33014	0.228167	0.228167
33015	0.229631	0.229631
33016	0.231094	0.231094
33017	0.232558	0.232558
33018	0.234021	0.234021
33019	0.235485	0.235485
33020	0.236949	0.236949
33021	0.238412	0.238412
33022	0.239876	0.239876
33023	0.241339	0.241339
33024	0.242803	0.242803
