t	z_ga	ga1
38838	0.429587	0.429587
38839	0.434073	0.434073
38840	0.438654	0.438654
38841	0.443333	0.443333
38842	0.448113	0.448113
38843	0.452997	0.452997
38844	0.457989	0.457989
38845	0.463092	0.463092
38846	0.468310	0.468310
38847	0.473647	0.473647
38848	0.479107	0.479107
38849	0.484694	0.484694
38850	0.490413	0.490413
38851	0.496269	0.496269
38852	0.502266	0.502266
38853	0.508410	0.508410
38854	0.514706	0.514706
38855	0.521160	0.521160
38856	0.527778	0.527778
38857	0.519231	0.519231
38858	0.510956	0.510956
38859	0.502941	0.502941
38860	0.495174	0.495174
38861	0.487643	0.487643
38862	0.480337	0.480337
38863	0.473247	0.473247
38864	0.466364	0.466364
38865	0.459677	0.459677
38866	0.453180	0.453180
38867	0.446864	0.446864
38868	0.440722	0.440722
38869	0.434746	0.434746
38870	0.428930	0.428930
38871	0.423267	0.423267
38872	0.417752	0.417752
38873	0.412379	0.412379
38874	0.407143	0.407143
38875	0.402038	0.402038
38876	0.397059	0.397059
38877	0.392202	0.392202
38878	0.387462	0.387462
38879	0.382836	0.382836
38880	0.378319	0.378319
38881	0.373907	0.373907
38882	0.369597	0.369597
38883	0.365385	0.365385
38884	0.368809	0.368809
38885	0.372297	0.372297
38886	0.375853	0.375853
38887	0.379477	0.379477
38888	0.383171	0.383171
38889	0.386938	0.386938
38890	0.390780	0.390780
38891	0.394699	0.394699
38892	0.398698	0.398698
38893	0.402778	0.402778
38894	0.406942	0.406942
38895	0.411194	0.411194
38896	0.415535	0.415535
38897	0.419970	0.419970
38898	0.424499	0.424499
38899	0.429128	0.429128
38900	0.433858	0.433858
38901	0.438694	0.438694
38902	0.443639	0.443639
38903	0.448697	0.448697
38904	0.453871	0.453871
38905	0.459167	0.459167
38906	0.464587	0.464587
38907	0.470137	0.470137
38908	0.475820	0.475820
38909	0.481643	0.481643
38910	0.487611	0.487611
38911	0.493728	0.493728
38912	0.500000	0.500000
38913	0.495160	0.495160
38914	0.490413	0.490413
38915	0.485756	0.485756
38916	0.481187	0.481187
38917	0.476703	0.476703
38918	0.472301	0.472301
38919	0.467980	0.467980
38920	0.463738	0.463738
38921	0.459572	0.459572
38922	0.455479	0.455479
38923	0.451460	0.451460
38924	0.447510	0.447510
38925	0.443629	0.443629
38926	0.439815	0.439815
38927	0.436066	0.436066
38928	0.432380	0.432380
38929	0.428756	0.428756
38930	0.425192	0.425192
38931	0.421687	0.421687
38932	0.418239	0.418239
38933	0.414847	0.414847
38934	0.411510	0.411510
38935	0.408226	0.408226
38936	0.404994	0.404994
38937	0.401813	0.401813
38938	0.398681	0.398681
38939	0.395598	0.395598
38940	0.392562	0.392562
38941	0.389572	0.389572
38942	0.386628	0.386628
38943	0.383728	0.383728
38944	0.380871	0.380871
38945	0.378056	0.378056
38946	0.375282	0.375282
38947	0.372549	0.372549
38948	0.371612	0.371612
38949	0.370680	0.370680
38950	0.369753	0.369753
38951	0.368830	0.368830
38952	0.367911	0.367911
38953	0.366998	0.366998
38954	0.366089	0.366089
38955	0.365184	0.365184
38956	0.364284	0.364284
38957	0.363388	0.363388
38958	0.362497	0.362497
38959	0.361610	0.361610
38960	0.360727	0.360727
38961	0.359848	0.359848
38962	0.358974	0.358974
38963	0.358104	0.358104
38964	0.357239	0.357239
38965	0.356377	0.356377
38966	0.355520	0.355520
38967	0.354667	0.354667
